1,WAP (feat. Megan Thee Stallion),Cardi B,7175768
2,Hawái,Maluma,5933776
3,Mood (feat. Iann Dior),24kGoldn,5627942
4,Dynamite,BTS,4450166
5,Blinding Lights,The Weeknd,4127373
6,Watermelon Sugar,Harry Styles,4125160
7,Savage Love (Laxed - Siren Beat),Jawsh 685,4078863
8,Laugh Now Cry Later (feat. Lil Durk),Drake,3844126
9,ROCKSTAR (feat. Roddy Ricch),DaBaby,3841121
10,Ice Cream (with Selena Gomez),BLACKPINK,3419659
11,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,2827320
12,Roses - Imanbek Remix,SAINt JHN,2816001
13,Head & Heart (feat. MNEK),Joel Corry,2784128
14,Mood Swings (feat. Lil Tjay),Pop Smoke,2779526
15,Breaking Me,Topic,2723779
16,Heather,Conan Gray,2693053
17,"Ay, DiOs Mío!",KAROL G,2601377
18,UN DIA (ONE DAY) (Feat. Tainy),J Balvin,2423264
19,Caramelo,Ozuna,2348795
20,Come & Go (with Marshmello),Juice WRLD,2266324
